,index,timeStamp,value,fuelType
0,0,2022-01-01,700,Coal
1,1,2022-02-01,0,Coal
2,2,2022-03-01,80,Coal
3,3,2022-04-01,310,Coal
4,4,2022-05-01,0,Coal
5,5,2022-06-01,0,Coal
6,6,2022-07-01,0,Coal
7,7,2022-08-01,20,Coal
8,8,2022-09-01,0,Coal
9,9,2022-10-01,470,Coal
10,10,2022-11-01,30,Coal
11,11,2022-12-01,0,Coal
12,0,2023-01-01,0,Coal
13,1,2023-02-01,0,Coal
14,2,2023-03-01,0,Coal
15,3,2023-04-01,0,Coal
16,4,2023-05-01,0,Coal
17,5,2023-06-01,0,Coal
18,6,2023-07-01,0,Coal
19,7,2023-08-01,0,Coal
20,8,2023-09-01,0,Coal
21,9,2023-10-01,0,Coal
22,10,2023-11-01,210,Coal
23,11,2023-12-01,620,Coal
24,0,2024-01-01,800,Coal
25,1,2024-02-01,800,Coal
26,2,2024-03-01,800,Coal
27,3,2024-04-01,800,Coal
28,4,2024-05-01,800,Coal
29,5,2024-06-01,800,Coal
30,6,2024-07-01,800,Coal
31,7,2024-08-01,800,Coal
32,0,2022-01-01,740,Natural Gas
33,1,2022-02-01,820,Natural Gas
34,2,2022-03-01,990,Natural Gas
35,3,2022-04-01,1760,Natural Gas
36,4,2022-05-01,1740,Natural Gas
37,5,2022-06-01,1530,Natural Gas
38,6,2022-07-01,1130,Natural Gas
39,7,2022-08-01,1150,Natural Gas
40,8,2022-09-01,1730,Natural Gas
41,9,2022-10-01,1250,Natural Gas
42,10,2022-11-01,940,Natural Gas
43,11,2022-12-01,460,Natural Gas
44,0,2023-01-01,450,Natural Gas
45,1,2023-02-01,460,Natural Gas
46,2,2023-03-01,860,Natural Gas
47,3,2023-04-01,940,Natural Gas
48,4,2023-05-01,940,Natural Gas
49,5,2023-06-01,730,Natural Gas
50,6,2023-07-01,570,Natural Gas
51,7,2023-08-01,570,Natural Gas
52,8,2023-09-01,720,Natural Gas
53,9,2023-10-01,580,Natural Gas
54,10,2023-11-01,470,Natural Gas
55,11,2023-12-01,450,Natural Gas
56,0,2024-01-01,80,Natural Gas
57,1,2024-02-01,30,Natural Gas
58,2,2024-03-01,90,Natural Gas
59,3,2024-04-01,1120,Natural Gas
60,4,2024-05-01,410,Natural Gas
61,5,2024-06-01,80,Natural Gas
62,6,2024-07-01,80,Natural Gas
63,7,2024-08-01,80,Natural Gas
64,0,2022-01-01,0,Dual Fuel
65,1,2022-02-01,0,Dual Fuel
66,2,2022-03-01,0,Dual Fuel
67,3,2022-04-01,0,Dual Fuel
68,4,2022-05-01,0,Dual Fuel
69,5,2022-06-01,0,Dual Fuel
70,6,2022-07-01,0,Dual Fuel
71,7,2022-08-01,0,Dual Fuel
72,8,2022-09-01,0,Dual Fuel
73,9,2022-10-01,0,Dual Fuel
74,10,2022-11-01,0,Dual Fuel
75,11,2022-12-01,0,Dual Fuel
76,0,2023-01-01,0,Dual Fuel
77,1,2023-02-01,0,Dual Fuel
78,2,2023-03-01,0,Dual Fuel
79,3,2023-04-01,0,Dual Fuel
80,4,2023-05-01,0,Dual Fuel
81,5,2023-06-01,0,Dual Fuel
82,6,2023-07-01,0,Dual Fuel
83,7,2023-08-01,0,Dual Fuel
84,8,2023-09-01,0,Dual Fuel
85,9,2023-10-01,0,Dual Fuel
86,10,2023-11-01,0,Dual Fuel
87,11,2023-12-01,0,Dual Fuel
88,0,2024-01-01,0,Dual Fuel
89,1,2024-02-01,0,Dual Fuel
90,2,2024-03-01,0,Dual Fuel
91,3,2024-04-01,0,Dual Fuel
92,4,2024-05-01,0,Dual Fuel
93,5,2024-06-01,0,Dual Fuel
94,6,2024-07-01,0,Dual Fuel
95,7,2024-08-01,0,Dual Fuel
96,0,2022-01-01,120,Hydro
97,1,2022-02-01,140,Hydro
98,2,2022-03-01,120,Hydro
99,3,2022-04-01,140,Hydro
100,4,2022-05-01,150,Hydro
101,5,2022-06-01,70,Hydro
102,6,2022-07-01,30,Hydro
103,7,2022-08-01,50,Hydro
104,8,2022-09-01,80,Hydro
105,9,2022-10-01,80,Hydro
106,10,2022-11-01,50,Hydro
107,11,2022-12-01,20,Hydro
108,0,2023-01-01,0,Hydro
109,1,2023-02-01,0,Hydro
110,2,2023-03-01,50,Hydro
111,3,2023-04-01,70,Hydro
112,4,2023-05-01,60,Hydro
113,5,2023-06-01,10,Hydro
114,6,2023-07-01,10,Hydro
115,7,2023-08-01,60,Hydro
116,8,2023-09-01,240,Hydro
117,9,2023-10-01,170,Hydro
118,10,2023-11-01,40,Hydro
119,11,2023-12-01,0,Hydro
120,0,2024-01-01,0,Hydro
121,1,2024-02-01,0,Hydro
122,2,2024-03-01,0,Hydro
123,3,2024-04-01,0,Hydro
124,4,2024-05-01,0,Hydro
125,5,2024-06-01,0,Hydro
126,6,2024-07-01,0,Hydro
127,7,2024-08-01,0,Hydro
128,0,2022-01-01,130,Wind
129,1,2022-02-01,210,Wind
130,2,2022-03-01,120,Wind
131,3,2022-04-01,50,Wind
132,4,2022-05-01,10,Wind
133,5,2022-06-01,10,Wind
134,6,2022-07-01,30,Wind
135,7,2022-08-01,40,Wind
136,8,2022-09-01,210,Wind
137,9,2022-10-01,80,Wind
138,10,2022-11-01,0,Wind
139,11,2022-12-01,0,Wind
140,0,2023-01-01,0,Wind
141,1,2023-02-01,0,Wind
142,2,2023-03-01,0,Wind
143,3,2023-04-01,0,Wind
144,4,2023-05-01,0,Wind
145,5,2023-06-01,10,Wind
146,6,2023-07-01,0,Wind
147,7,2023-08-01,0,Wind
148,8,2023-09-01,0,Wind
149,9,2023-10-01,0,Wind
150,10,2023-11-01,0,Wind
151,11,2023-12-01,0,Wind
152,0,2024-01-01,0,Wind
153,1,2024-02-01,0,Wind
154,2,2024-03-01,0,Wind
155,3,2024-04-01,0,Wind
156,4,2024-05-01,0,Wind
157,5,2024-06-01,10,Wind
158,6,2024-07-01,10,Wind
159,7,2024-08-01,0,Wind
160,0,2022-01-01,400,Solar
161,1,2022-02-01,400,Solar
162,2,2022-03-01,60,Solar
163,3,2022-04-01,450,Solar
164,4,2022-05-01,390,Solar
165,5,2022-06-01,330,Solar
166,6,2022-07-01,220,Solar
167,7,2022-08-01,180,Solar
168,8,2022-09-01,90,Solar
169,9,2022-10-01,50,Solar
170,10,2022-11-01,10,Solar
171,11,2022-12-01,10,Solar
172,0,2023-01-01,0,Solar
173,1,2023-02-01,0,Solar
174,2,2023-03-01,0,Solar
175,3,2023-04-01,0,Solar
176,4,2023-05-01,0,Solar
177,5,2023-06-01,0,Solar
178,6,2023-07-01,0,Solar
179,7,2023-08-01,0,Solar
180,8,2023-09-01,0,Solar
181,9,2023-10-01,0,Solar
182,10,2023-11-01,0,Solar
183,11,2023-12-01,0,Solar
184,0,2024-01-01,0,Solar
185,1,2024-02-01,0,Solar
186,2,2024-03-01,0,Solar
187,3,2024-04-01,0,Solar
188,4,2024-05-01,0,Solar
189,5,2024-06-01,0,Solar
190,6,2024-07-01,0,Solar
191,7,2024-08-01,0,Solar
192,0,2022-01-01,0,Energy Storage
193,1,2022-02-01,0,Energy Storage
194,2,2022-03-01,0,Energy Storage
195,3,2022-04-01,0,Energy Storage
196,4,2022-05-01,0,Energy Storage
197,5,2022-06-01,0,Energy Storage
198,6,2022-07-01,0,Energy Storage
199,7,2022-08-01,0,Energy Storage
200,8,2022-09-01,0,Energy Storage
201,9,2022-10-01,0,Energy Storage
202,10,2022-11-01,0,Energy Storage
203,11,2022-12-01,0,Energy Storage
204,0,2023-01-01,0,Energy Storage
205,1,2023-02-01,0,Energy Storage
206,2,2023-03-01,0,Energy Storage
207,3,2023-04-01,0,Energy Storage
208,4,2023-05-01,0,Energy Storage
209,5,2023-06-01,0,Energy Storage
210,6,2023-07-01,0,Energy Storage
211,7,2023-08-01,0,Energy Storage
212,8,2023-09-01,0,Energy Storage
213,9,2023-10-01,0,Energy Storage
214,10,2023-11-01,0,Energy Storage
215,11,2023-12-01,0,Energy Storage
216,0,2024-01-01,0,Energy Storage
217,1,2024-02-01,0,Energy Storage
218,2,2024-03-01,0,Energy Storage
219,3,2024-04-01,0,Energy Storage
220,4,2024-05-01,0,Energy Storage
221,5,2024-06-01,0,Energy Storage
222,6,2024-07-01,0,Energy Storage
223,7,2024-08-01,0,Energy Storage
224,0,2022-01-01,50,Biomass & Other
225,1,2022-02-01,60,Biomass & Other
226,2,2022-03-01,50,Biomass & Other
227,3,2022-04-01,120,Biomass & Other
228,4,2022-05-01,120,Biomass & Other
229,5,2022-06-01,110,Biomass & Other
230,6,2022-07-01,100,Biomass & Other
231,7,2022-08-01,80,Biomass & Other
232,8,2022-09-01,70,Biomass & Other
233,9,2022-10-01,50,Biomass & Other
234,10,2022-11-01,50,Biomass & Other
235,11,2022-12-01,40,Biomass & Other
236,0,2023-01-01,40,Biomass & Other
237,1,2023-02-01,40,Biomass & Other
238,2,2023-03-01,40,Biomass & Other
239,3,2023-04-01,40,Biomass & Other
240,4,2023-05-01,30,Biomass & Other
241,5,2023-06-01,30,Biomass & Other
242,6,2023-07-01,30,Biomass & Other
243,7,2023-08-01,30,Biomass & Other
244,8,2023-09-01,50,Biomass & Other
245,9,2023-10-01,30,Biomass & Other
246,10,2023-11-01,30,Biomass & Other
247,11,2023-12-01,30,Biomass & Other
248,0,2024-01-01,30,Biomass & Other
249,1,2024-02-01,30,Biomass & Other
250,2,2024-03-01,30,Biomass & Other
251,3,2024-04-01,30,Biomass & Other
252,4,2024-05-01,30,Biomass & Other
253,5,2024-06-01,30,Biomass & Other
254,6,2024-07-01,30,Biomass & Other
255,7,2024-08-01,30,Biomass & Other
