timeStamp,value,fuelType
2022-01-01,700,Coal
2022-02-01,0,Coal
2022-03-01,80,Coal
2022-04-01,310,Coal
2022-05-01,0,Coal
2022-06-01,0,Coal
2022-07-01,0,Coal
2022-08-01,20,Coal
2022-09-01,0,Coal
2022-10-01,470,Coal
2022-11-01,30,Coal
2022-12-01,0,Coal
2023-01-01,0,Coal
2023-02-01,0,Coal
2023-03-01,500,Coal
2023-04-01,0,Coal
2023-05-01,0,Coal
2023-06-01,0,Coal
2023-07-01,0,Coal
2023-08-01,0,Coal
2023-09-01,0,Coal
2023-10-01,0,Coal
2023-11-01,210,Coal
2023-12-01,620,Coal
2024-01-01,800,Coal
2024-02-01,800,Coal
2024-03-01,800,Coal
2024-04-01,800,Coal
2024-05-01,800,Coal
2024-06-01,800,Coal
2024-07-01,800,Coal
2024-08-01,800,Coal
2022-01-01,740,Natural Gas
2022-02-01,820,Natural Gas
2022-03-01,990,Natural Gas
2022-04-01,1760,Natural Gas
2022-05-01,1740,Natural Gas
2022-06-01,1530,Natural Gas
2022-07-01,1130,Natural Gas
2022-08-01,1150,Natural Gas
2022-09-01,1730,Natural Gas
2022-10-01,1250,Natural Gas
2022-11-01,940,Natural Gas
2022-12-01,460,Natural Gas
2023-01-01,450,Natural Gas
2023-02-01,460,Natural Gas
2023-03-01,860,Natural Gas
2023-04-01,940,Natural Gas
2023-05-01,940,Natural Gas
2023-06-01,730,Natural Gas
2023-07-01,570,Natural Gas
2023-08-01,570,Natural Gas
2023-09-01,720,Natural Gas
2023-10-01,580,Natural Gas
2023-11-01,470,Natural Gas
2023-12-01,450,Natural Gas
2024-01-01,80,Natural Gas
2024-02-01,30,Natural Gas
2024-03-01,90,Natural Gas
2024-04-01,1120,Natural Gas
2024-05-01,410,Natural Gas
2024-06-01,80,Natural Gas
2024-07-01,80,Natural Gas
2024-08-01,80,Natural Gas
2022-01-01,0,Dual Fuel
2022-02-01,0,Dual Fuel
2022-03-01,0,Dual Fuel
2022-04-01,0,Dual Fuel
2022-05-01,0,Dual Fuel
2022-06-01,0,Dual Fuel
2022-07-01,0,Dual Fuel
2022-08-01,0,Dual Fuel
2022-09-01,0,Dual Fuel
2022-10-01,0,Dual Fuel
2022-11-01,0,Dual Fuel
2022-12-01,0,Dual Fuel
2023-01-01,0,Dual Fuel
2023-02-01,0,Dual Fuel
2023-03-01,0,Dual Fuel
2023-04-01,0,Dual Fuel
2023-05-01,0,Dual Fuel
2023-06-01,0,Dual Fuel
2023-07-01,0,Dual Fuel
2023-08-01,0,Dual Fuel
2023-09-01,0,Dual Fuel
2023-10-01,0,Dual Fuel
2023-11-01,0,Dual Fuel
2023-12-01,0,Dual Fuel
2024-01-01,0,Dual Fuel
2024-02-01,0,Dual Fuel
2024-03-01,0,Dual Fuel
2024-04-01,0,Dual Fuel
2024-05-01,0,Dual Fuel
2024-06-01,0,Dual Fuel
2024-07-01,0,Dual Fuel
2024-08-01,0,Dual Fuel
2022-01-01,120,Hydro
2022-02-01,140,Hydro
2022-03-01,120,Hydro
2022-04-01,140,Hydro
2022-05-01,150,Hydro
2022-06-01,70,Hydro
2022-07-01,30,Hydro
2022-08-01,50,Hydro
2022-09-01,80,Hydro
2022-10-01,80,Hydro
2022-11-01,50,Hydro
2022-12-01,20,Hydro
2023-01-01,0,Hydro
2023-02-01,0,Hydro
2023-03-01,50,Hydro
2023-04-01,70,Hydro
2023-05-01,60,Hydro
2023-06-01,10,Hydro
2023-07-01,10,Hydro
2023-08-01,60,Hydro
2023-09-01,240,Hydro
2023-10-01,170,Hydro
2023-11-01,40,Hydro
2023-12-01,0,Hydro
2024-01-01,0,Hydro
2024-02-01,0,Hydro
2024-03-01,0,Hydro
2024-04-01,0,Hydro
2024-05-01,0,Hydro
2024-06-01,0,Hydro
2024-07-01,0,Hydro
2024-08-01,0,Hydro
2022-01-01,130,Wind
2022-02-01,210,Wind
2022-03-01,120,Wind
2022-04-01,50,Wind
2022-05-01,10,Wind
2022-06-01,10,Wind
2022-07-01,30,Wind
2022-08-01,40,Wind
2022-09-01,210,Wind
2022-10-01,80,Wind
2022-11-01,0,Wind
2022-12-01,0,Wind
2023-01-01,0,Wind
2023-02-01,0,Wind
2023-03-01,0,Wind
2023-04-01,0,Wind
2023-05-01,0,Wind
2023-06-01,10,Wind
2023-07-01,0,Wind
2023-08-01,0,Wind
2023-09-01,0,Wind
2023-10-01,0,Wind
2023-11-01,0,Wind
2023-12-01,0,Wind
2024-01-01,0,Wind
2024-02-01,0,Wind
2024-03-01,0,Wind
2024-04-01,0,Wind
2024-05-01,0,Wind
2024-06-01,10,Wind
2024-07-01,10,Wind
2024-08-01,0,Wind
2022-01-01,400,Solar
2022-02-01,400,Solar
2022-03-01,60,Solar
2022-04-01,450,Solar
2022-05-01,390,Solar
2022-06-01,330,Solar
2022-07-01,220,Solar
2022-08-01,180,Solar
2022-09-01,90,Solar
2022-10-01,50,Solar
2022-11-01,10,Solar
2022-12-01,10,Solar
2023-01-01,0,Solar
2023-02-01,0,Solar
2023-03-01,0,Solar
2023-04-01,0,Solar
2023-05-01,0,Solar
2023-06-01,0,Solar
2023-07-01,0,Solar
2023-08-01,0,Solar
2023-09-01,0,Solar
2023-10-01,0,Solar
2023-11-01,0,Solar
2023-12-01,0,Solar
2024-01-01,0,Solar
2024-02-01,0,Solar
2024-03-01,0,Solar
2024-04-01,0,Solar
2024-05-01,0,Solar
2024-06-01,0,Solar
2024-07-01,0,Solar
2024-08-01,0,Solar
2022-01-01,0,Energy Storage
2022-02-01,0,Energy Storage
2022-03-01,0,Energy Storage
2022-04-01,0,Energy Storage
2022-05-01,0,Energy Storage
2022-06-01,0,Energy Storage
2022-07-01,0,Energy Storage
2022-08-01,0,Energy Storage
2022-09-01,0,Energy Storage
2022-10-01,0,Energy Storage
2022-11-01,0,Energy Storage
2022-12-01,0,Energy Storage
2023-01-01,0,Energy Storage
2023-02-01,0,Energy Storage
2023-03-01,0,Energy Storage
2023-04-01,0,Energy Storage
2023-05-01,0,Energy Storage
2023-06-01,0,Energy Storage
2023-07-01,0,Energy Storage
2023-08-01,0,Energy Storage
2023-09-01,0,Energy Storage
2023-10-01,0,Energy Storage
2023-11-01,0,Energy Storage
2023-12-01,0,Energy Storage
2024-01-01,0,Energy Storage
2024-02-01,0,Energy Storage
2024-03-01,0,Energy Storage
2024-04-01,0,Energy Storage
2024-05-01,0,Energy Storage
2024-06-01,0,Energy Storage
2024-07-01,0,Energy Storage
2024-08-01,0,Energy Storage
2022-01-01,50,Biomass & Other
2022-02-01,60,Biomass & Other
2022-03-01,50,Biomass & Other
2022-04-01,120,Biomass & Other
2022-05-01,120,Biomass & Other
2022-06-01,110,Biomass & Other
2022-07-01,100,Biomass & Other
2022-08-01,80,Biomass & Other
2022-09-01,70,Biomass & Other
2022-10-01,50,Biomass & Other
2022-11-01,50,Biomass & Other
2022-12-01,40,Biomass & Other
2023-01-01,40,Biomass & Other
2023-02-01,40,Biomass & Other
2023-03-01,40,Biomass & Other
2023-04-01,40,Biomass & Other
2023-05-01,30,Biomass & Other
2023-06-01,30,Biomass & Other
2023-07-01,30,Biomass & Other
2023-08-01,30,Biomass & Other
2023-09-01,50,Biomass & Other
2023-10-01,30,Biomass & Other
2023-11-01,30,Biomass & Other
2023-12-01,30,Biomass & Other
2024-01-01,30,Biomass & Other
2024-02-01,30,Biomass & Other
2024-03-01,30,Biomass & Other
2024-04-01,30,Biomass & Other
2024-05-01,30,Biomass & Other
2024-06-01,30,Biomass & Other
2024-07-01,30,Biomass & Other
2024-08-01,30,Biomass & Other
